CLUE,CLAVE JUR,NOMBRE DE LA UNIDAD INTERNA EN NÓMINA,ESTATUS DE OPERACIÓN,,,,NIVEL DE ATENCIÓN,,
CSSSA018303,2,UNIDAD MOVIL CARAVANA TIPO 0 TIERRA BLANCA ZINACANTAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018694,2,SAN CRISTOBAL (U.N.E.M.E. ENFERMEDADES CRONICAS),EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018706,2,SAN CRISTOBAL (U.N.E.M.E. CAPA NUEVA VIDA),EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017341,2,ALMACEN JURISDICCIONAL (SAN CRISTOBAL DE LAS CASAS),EN OPERACIÓN,NULL,NULL,NULL,NO APLICA,NULL,NULL
CSSSA009396,2,CENTRO DE SALUD CON SERVICIOS AMPLIADOS DR MANUEL VELASCO SUAREZ,EN OPERACION,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA009413,2,CENTRO DE SALUD CON SERVICIOS AMPLIADOS PANTELHO DR MANUEL VELASCO SUAREZ,EN OPERACION,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001112,3,CENTRO DE SALUD RURAL 1 NB PRIMERO DE MAYO COMITAN DE DOMINGUEZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017242,3,OFICINA JURISDICCIONAL No. III (COMITAN),EN OPERACIÓN,NULL,NULL,NULL,NO APLICA,NULL,NULL
CSSSA001042,3,CENTRO DE SALUD URBANO 12 NB COMITAN DE DOMINGUEZ COMITAN DE DOMINGUEZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001066,3,CASA DE SALUD CHICHIMA CHACALJEMEL COMITAN DE DOMINGUEZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002326,3,CASA DE SALUD BELLAVISTA DEL NORTE FRONTERA COMALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002314,3,CENTRO DE SALUD URBANO 8 NB FRONTERA COMALAPA FRONTERA COMALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA020181,3,CENTROS DE SALUD CON SERVICIOS AMPLIADOS LA INDEPENDENCIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002331,3,CENTRO DE SALUD RURAL 1 NB CD. CUAUHTEMOC FRONTERA COMALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002384,3,CENTRO DE SALUD RURAL 1 NB VERAPAZ FRONTERA COMALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002734,3,CENTRO DE SALUD RURAL 1 NB EMILIANO ZAPATA LA INDEPENDENCIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017702,3,CENTRO DE SALUD CON HOSPITALIZACION NUEVO HUIXTAN LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018414,3,CENTRO DE SALUD URBANO 7 NB LAS MARGARITAS LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008532,3,CENTRO DE SALUD RURAL 1 NB SANTA MARGARITA AGUA AZUL LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003270,3,CENTRO DE SALUD CON HOSPITALIZACION AMPARO AGUA TINTA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003492,3,CENTRO DE SALUD RURAL 1 NB JERUSALEM LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003306,3,CENTRO DE SALUD RURAL 1 NB IGNACIO ZARAGOZA LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003393,3,CENTRO DE SALUD RURAL 1 NB SAN ISIDRO LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006263,3,CENTROS DE SALUD CON SERVICIOS AMPLIADOS SOCOLTENANGO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008520,3,CASA DE SALUD GUADALUPE MIRAMAR MARAVILLA TENEJAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006316,3,CASA DE SALUD PUERTO RICO SOCOLTENANGO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007284,3,CENTROS DE SALUD CON SERVICIOS AMPLIADOS LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007313,3,CENTRO DE SALUD RURAL 1 NB CRISTOBAL COLON LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007296,3,CENTRO DE SALUD RURAL 1 NB ALVARO OBREGON LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007791,3,CENTRO DE SALUD RURAL 1 NB OCHUSJOB TZIMOL,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007786,3,CENTRO DE SALUD RURAL 1 NB FELIPE ANGELES TZIMOL,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018962,3,CENTROS DE SALUD CON SERVICIOS AMPLIADOS TZIMOL,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001054,3,CASA DE SALUD CAJCAM COMITAN DE DOMINGUEZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001071,3,CASA DE SALUD HIDALGO COMITAN DE DOMINGUEZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001083,3,CASA DE SALUD JUZNAJAB LA LAGUNA COMITAN DE DOMINGUEZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001095,3,CASA DE SALUD LAGUNA LARGA COMITAN DE DOMINGUEZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001100,3,CASA DE SALUD SAN ANTONIO OGOTZIL COMITAN DE DOMINGUEZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001124,3,CASA DE SALUD QUIJA COMITAN DE DOMINGUEZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA020012,3,CASA DE SALUD SAN ANTONIO COPALAR COMITAN DE DOMINGUEZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001136,3,CASA DE SALUD SAN JOSE YOCNAJAB COMITAN DE DOMINGUEZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001165,3,CASA DE SALUD GUADALUPE PALMIRA COMITAN DE DOMINGUEZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001170,3,CENTRO DE SALUD RURAL 1 NB STA. ROSALIA COMITAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001742,3,CASA DE SALUD CUATRO CAMINOS CHICOMUSELO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017603,3,CASA DE SALUD LAS FLORES CHICOMUSELO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001754,3,CASA DE SALUD MIGUEL ALEMAN CHICOMUSELO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001766,3,CASA DE SALUD PIEDRA LABRADA CHICOMUSELO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001771,3,CENTRO DE SALUD RURAL 1 NB LA PINTA CHICOMUSELO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001783,3,CASA DE SALUD BARRIO POTRERILLOS CHICOMUSELO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001795,3,CENTRO DE SALUD RURAL 1 NB MONTE SINAI CHICOMUSELO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001800,3,CASA DE SALUD ZACUALPA CHICOMUSELO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001812,3,CENTRO DE SALUD RURAL 1 NB NUEVA GRECIA CHICOMUSELO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017615,3,CASA DE SALUD MONTE REDONDO FRONTERA COMALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002343,3,CASA DE SALUD NUEVO MEXICO FRONTERA COMALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002355,3,CASA DE SALUD EL PORTAL FRONTERA COMALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002372,3,CASA DE SALUD EL TRIUNFO DE LAS TRES MARAVILLAS COMALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002396,3,CASA DE SALUD AGUA ZARCA FRONTERA COMALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002722,3,CENTRO DE SALUD RURAL 1 NB ROSARIO BADENIA LA INDEPENDENCIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002746,3,CASA DE SALUD FRANCISCO SARABIA LA INDEPENDENCIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA020000,3,CASA DE SALUD OJO DE AGUA LA INDEPENDENCIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002763,3,CENTRO DE SALUD RURAL 1 NB LA PATRIA LA INDEPENDENCIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002775,3,CASA DE SALUD TIERRA BLANCA LA INDEPENDENCIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017895,3,CASA DE SALUD AQUILES SERDAN LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003294,3,CENTRO DE SALUD RURAL 1 NB GABRIEL LEYVA VELAZQUEZ LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003311,3,CENTRO DE SALUD RURAL 1 NB JALISCO LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003323,3,CENTRO DE SALUD RURAL 1 NB JUSTO SIERRA LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018105,3,CASA DE SALUD LOMANTAN LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003381,3,CASA DE SALUD SAN CARLOS DEL RIO LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018822,3,CASA DE SALUD SAN JOSE ZAPOTAL LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003410,3,CASA DE SALUD SAN JOSE LAS PALMAS LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003422,3,CASA DE SALUD SAN PEDRO YUTNIOTIC LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003451,3,CASA DE SALUD SANTA RITA SONORA LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018426,3,CENTRO DE SALUD RURAL 1 NB VERACRUZ LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003475,3,CASA DE SALUD SAN ANTONIO BAWITZ LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003480,3,CASA DE SALUD LA ESMERALDA LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003504,3,CASA DE SALUD LUCHA CAMPESINA LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003516,3,CASA DE SALUD ESPIRITU SANTO LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003533,3,CASA DE SALUD EL ENCANTO LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003545,3,CASA DE SALUD PROGRESO LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003550,3,CASA DE SALUD LAS PERLAS LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003574,3,CASA DE SALUD SAN JOSE LA REVANCHA LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008556,3,CASA DE SALUD SAN MATEO ZAPOTAL LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003586,3,CASA DE SALUD GUADALUPE LAS FLORES LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003591,3,CASA DE SALUD UNION VICTORIA LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018110,3,CASA DE SALUD SAN ARTURO LAS FLORES LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006275,3,CASA DE SALUD UNION GUADALUPE SOCOLTENANGO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006292,3,CASA DE SALUD SAN VICENTE PAUCHIL SOCOLTENANGO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006304,3,CASA DE SALUD REFORMA AGRARIA SOCOLTENANGO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007301,3,CASA DE SALUD EL CARMEN XHAN LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007325,3,CENTRO DE SALUD RURAL 1 NB HIDALGO LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007330,3,CASA DE SALUD JUNCANA LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007342,3,CASA DE SALUD EL PROGRESO LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007354,3,CASA DE SALUD ROSARIO TIERRA BLANCA LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007366,3,CASA DE SALUD SAN JUAN DEL VALLE LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007371,3,CENTRO DE SALUD RURAL 1 NB TZISCAO LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007383,3,CASA DE SALUD LA ANTELA LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007412,3,CENTRO DE SALUD RURAL 1 NB LA GLORIA LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007424,3,CENTRO DE SALUD RURAL 1 NB FLOR DE MAYO LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007436,3,CASA DE SALUD NUEVO VILLAFLORES LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007453,3,CENTRO DE SALUD RURAL 1 NB NUEVA LIBERTAD (EL COLORADO) LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007465,3,CASA DE SALUD CIENEGUITAS LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007470,3,CENTRO DE SALUD RURAL 1 NB NUEVO LLANO GRANDE LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018122,3,CASA DE SALUD SABINALITO LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007815,3,CASA DE SALUD NUEVA LIBERTAD TZIMOL,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017714,3,CASA DE SALUD NUEVO ARGENTINA MARAVILLA TENEJAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019686,3,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB SANTO DOMINGO LAS PALMAS MARAVILLA TENEJAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018916,3,CENTRO DE SALUD RURAL 1 NB NUEVA SABANILLA MARAVILLA TENEJAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001030,3,HOSPITAL GENERAL MARIA IGNACIA GANDULFO COMITAN,EN OPERACIÓN,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
CSSSA018776,3,HOSPITAL GENERAL  DE LA MUJER COMITAN,EN OPERACIÓN,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
CSSSA018781,3,HOSPITAL BASICO COMUNITARIO DE FRONTERA COMALAPA,EN OPERACIÓN,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
CSSSA003265,3,HOSPITAL BASICO COMUNITARIO DE LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
CSSSA013012,3,UNIDAD MEDICA MOVIL TIERRA BLANCA COMITAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA013054,3,UNIDAD MEDICA MOVIL 20 DE NOVIEMBRE CHICOMUSELO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002360,3,UNIDAD MOVIL SANTA ROSA (BENITO JUAREZ)  FRONT COMALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003405,3,UNIDAD MOVIL SANTA MARTHA LA INDEPENDENCIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA013030,3,UNIDAD MEDICA MOVIL RAFAEL RAMIREZ LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA013021,3,UNIDAD MEDICA MOVIL SAN ANTONIO LOS ALTOS? LAS MARGARIT,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA013045,3,UNIDAD MEDICA MOVIL NUEVO MATZAM LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA013063,3,UNIDAD MEDICA MOVIL SAMUEL LEON BRINDIS SOCOLTENANGO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007395,3,UNIDAD MOVIL NUEVA VENECIA LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007400,3,UNIDAD MOVIL LOMA BONITA LA TRINITARIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA013003,3,UNIDAD MEDICA MOVIL REFORMA AGRARIA 1 TZIMOL,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012745,3,UNIDAD MOVIL CARAVANA TIPO 0 RIO COROZAL LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012254,3,UNIDAD MOVIL CARAVANA TIPO 0  SAN ANTONIO DE LOS MONTES LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012230,3,UNIDAD MOVIL CARAVANA TIPO 0 SAN JUAN BAUTISTA LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012266,3,UNIDAD MOVIL CARAVANA TIPO 0 SANTA ANA LAS FLORES LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012754,3,UNIDAD MOVIL CARAVANA IGNACIO ALLENDE LAS MARGARITAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018974,3,COMITAN (U.N.E.M.E. CAPA),EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018986,3,FRONTERA COMALAPA  (U.N.E.M.E. CAPA),EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017353,3,ALMACEN JURISDICCIONAL (COMITAN),EN OPERACIÓN,NULL,NULL,NULL,NO APLICA,NULL,NULL
CSSSA009343,3,CENTRO DE SALUD CON SERVICIOS AMPLIADOS CHICOMUSELO,EN OPERACION,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008112,4,OFICINA JURISDICCIONAL No. IV (VILLAFLORES),EN OPERACIÓN,NULL,NULL,NULL,NO APLICA,NULL,NULL
CSSSA008124,4,CENTRO DE SALUD URBANO 6 NB VILLAFLORES,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008141,4,CENTRO DE SALUD RURAL 1 NB CRISTOBAL OBREGON VILLAFLORES,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008153,4,CENTRO DE SALUD R. 1 NB DR. DOMINGO CHANONA VILLAFLORES,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008165,4,CENTRO DE SALUD RURAL 2 NB JESUS MA. GARZA VILLAFLORES,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008136,4,CENTRO DE SALUD RURAL 1 NB CALZADA LARGA VILLAFLORES,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008211,4,CENTRO DE SALUD RURAL 1 NB TIERRA Y LIBERTAD VILLAFLORES,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA009022,4,CASA DE SALUD LA PAZ DE SABINES ANGEL ALBINO CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007996,4,CASA DE SALUD OCOTAL LAS MARAVILLAS VILLA CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008754,4,CASA DE SALUD SANTA RITA ANGEL ALBINO CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000436,4,CENTRO DE SALUD RURAL 1 NB NUEVA INDEPENDENCIA ANGEL ALBINO CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA009220,4,CENTRO DE SALUD URBANO 4 NB JALTENANGO DE LA PAZ ANGEL ALBINO CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008771,4,CASA DE SALUD MONTEBELLO ALTAMIRA? MONTECRISTO DE GUERRERO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008631,4,CENTRO DE SALUD RURAL 1 NB LAGUNA DEL COFRE MONTECRISTO DE GUERRERO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000441,4,CASA DE SALUD SALVADOR URBINA ANGEL ALBINO CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001182,4,CENTRO DE SALUD CON HOSPITALIZACION NUEVA CONCORDIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001194,4,CENTRO DE SALUD RURAL 1 NB BENITO JUAREZ LA CONCORDIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001281,4,CENTRO DE SALUD RURAL 2 NB EL AMBAR DE ECHEVERRIA LA CONCORDIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001276,4,CENTRO DE SALUD RURAL 1 NB DIAMANTE DE ECHEVERRIA LA CONCORDIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001252,4,CENTRO DE SALUD RURAL 1 NB REFORMA LA CONCORDIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007931,4,CENTRO DE SALUD RURAL 3 NB VILLACORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007960,4,CENTRO DE SALUD RURAL 2 NB EL PARRAL VILLA CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007943,4,CENTRO DE SALUD R 2 NB SAN PEDRO BUENAVISTA VILLA CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008042,4,CASA DE SALUD COL. LA FRAYLESCA VILLA CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000424,4,CASA DE SALUD LIBERTAD EL PAJAL ANGEL ALBINO CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001206,4,CASA DE SALUD CUXTEPEQUES LA CONCORDIA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
